function,n,gradient_approach,k,optimizer,lr,loss
styblinski-tang,2,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.025150169757008494,-78.33233642578125
styblinski-tang,2,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.017040430717383544,-78.33233642578125
styblinski-tang,2,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.030696826359815584,-78.33233642578125
styblinski-tang,2,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.008385685995084685,-78.33233642578125
styblinski-tang,4,bp,,Backpropagation,0.0523359206612102,-156.66468811035156
styblinski-tang,4,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.003889903503622162,-156.6646728515625
styblinski-tang,4,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.005696895132419509,-156.6646728515625
styblinski-tang,4,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.005696895132419509,-156.6646728515625
styblinski-tang,4,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.016733902082371015,-156.6646728515625
styblinski-tang,4,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.018143164234791908,-156.6646728515625
styblinski-tang,4,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.015384028442962452,-156.6646728515625
styblinski-tang,4,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.02061135736757477,-156.6646728515625
styblinski-tang,8,bp,,Backpropagation,0.05399332921854338,-313.3293762207031
styblinski-tang,8,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0026790406079174526,-313.329345703125
styblinski-tang,8,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.000794552156881394,-313.329345703125
styblinski-tang,8,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.001050775322774125,-313.329345703125
styblinski-tang,8,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.004202621051012061,-313.329345703125
styblinski-tang,8,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.00524710420853557,-313.329345703125
styblinski-tang,8,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.02061135736757477,-313.329345703125
styblinski-tang,8,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.010029586898282173,-313.329345703125
styblinski-tang,16,bp,,Backpropagation,0.051442656804336566,-626.6587524414062
styblinski-tang,16,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0007838097402823519,-626.65869140625
styblinski-tang,16,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0018423636305031673,-626.65869140625
styblinski-tang,16,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0020601963375227604,-626.65869140625
styblinski-tang,16,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.005696895132419509,-626.65869140625
styblinski-tang,16,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.010029586898282173,-626.65869140625
styblinski-tang,16,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.010333673939844811,-626.65869140625
styblinski-tang,16,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.010029586898282173,-626.65869140625
styblinski-tang,32,bp,,Backpropagation,0.05399332921854338,-1253.3175048828125
